Product_Code,ProductName,Description,New Item Description
1000,NAVYCUT FT 10PP_1000,NAVYCUT FT 10PP_1000,
1003,Gold Flake FT Mint Switch 10BE_1003,Gold Flake FT Mint Switch 10BE_1003,
1046,SILKCUT VIRGINIA DSFT NB 10HL_1046,SILKCUT VIRGINIA DSFT NB 10HL_1046,
11008,MD84 Sandal - NP(NEW KLD)_11008,MD84 Sandal - NP(NEW KLD)_11008,
11009,MD Sambrani 20_11009,MD Sambrani 20_11009,
11012,MD84 Bouquet - NP(NEW KLD)_11012,MD84 Bouquet - NP(NEW KLD)_11012,
11016,MD84 Treya - NP(NEW KLD)_11016,MD84 Treya - NP(NEW KLD)_11016,
11017,MD84 FOT - NP(NEW KLD)_11017,MD84 FOT - NP(NEW KLD)_11017,
11077,MD84 JATHIMALLIGAI - NP(NEW KLD)_11077,MD84 JATHIMALLIGAI - NP(NEW KLD)_11077,
11092,MD 30 SANDAL (NP)_11092,MD 30 SANDAL (NP)_11092,
11111,MD85 5IN1 NP(New KLD)_11111,MD85 5IN1 NP(New KLD)_11111,
11124,MD 70 Flora_11124,MD 70 Flora_11124,
11176,MD 20 Temple Silver_11176,MD 20 Temple Silver_11176,
11249,MD14 Bouquet - Fragrance Plus_11249,MD14 Bouquet - Fragrance Plus_11249,
11254,MD Rs 20 Pushpanjali_11254,MD Rs 20 Pushpanjali_11254,
11256,MD Rs 50 Pushpanjali_11256,MD Rs 50 Pushpanjali_11256,
11477,MD84 Lavender(UNLOCKED)_11477,MD84 Lavender(UNLOCKED)_11477,
11484,MD14 FOT Sandal Tradition_11484,MD14 FOT Sandal Tradition_11484,
11485,MD35 FOT Sandal Tradition_11485,MD35 FOT Sandal Tradition_11485,
11621,MD 14 BOUQUET NP (UNLOCKED)_11621,MD 14 BOUQUET NP (UNLOCKED)_11621,
11622,MD14 Sandal NP - (UNLOCKED)_11622,MD14 Sandal NP - (UNLOCKED)_11622,
11623,MD 14 ROSE NP (UNLOCKED)_11623,MD 14 ROSE NP (UNLOCKED)_11623,
11624,MD 14 MOGRA NP (UNLOCKED)_11624,MD 14 MOGRA NP (UNLOCKED)_11624,
11625,MD 14 FOT (UNLOCKED)_11625,MD 14 FOT (UNLOCKED)_11625,
11626,MD14 Lavender (UNLOCKED)_11626,MD14 Lavender (UNLOCKED)_11626,
11627,MD14 Treya NP(UNLOCKED)_11627,MD14 Treya NP(UNLOCKED)_11627,
11632,MD14 Jathimalligai NP (UNLOCKED)_11632,MD14 Jathimalligai NP (UNLOCKED)_11632,
11743,MD DEETYAA COMBO 123(UNLOCKED)_11743,MD DEETYAA COMBO 123(UNLOCKED)_11743,
11758,MD Sadhvi 100 (UNLOCKED)_11758,MD Sadhvi 100 (UNLOCKED)_11758,
11783,MD 14 TREYA - NP(VISIBILITY)_11783,MD 14 TREYA - NP(VISIBILITY)_11783,
11784,MD14DEETYAA COMBO123(VISIBILITY)_11784,MD14DEETYAA COMBO123(VISIBILITY)_11784,
11786,MD 14 LAVENDER - (VISIBILITY)_11786,MD 14 LAVENDER - (VISIBILITY)_11786,
11791,MD 14 SANDAL - FREE SAMPLE POUCH_11791,MD 14 SANDAL - FREE SAMPLE POUCH_11791,
1182,FLAKE GOLD CREST NPCT EB 10HL_1182,FLAKE GOLD CREST NPCT EB 10HL_1182,
11824,MD FOT Gold Yagna Rs.20(Unlocked)_11824,MD FOT Gold Yagna Rs.20(Unlocked)_11824,
11825,MD FOT Silver Diya Rs.20(Unlocked)_11825,MD FOT Silver Diya Rs.20(Unlocked)_11825,
11827,MD FOT Gold Yagna Rs.50(Unlocked)_11827,MD FOT Gold Yagna Rs.50(Unlocked)_11827,
11828,MD FOT Silver Diya Rs.50(Unlocked)_11828,MD FOT Silver Diya Rs.50(Unlocked)_11828,
11954,MD 80 Treya -New (Extra 20%)_11954,MD 80 Treya -New (Extra 20%)_11954,
11955,MD 80 Treya -New_11955,MD 80 Treya -New_11955,
11974,Mangaldeep 14 Sandal (Extra 20%)_11974,Mangaldeep 14 Sandal (Extra 20%)_11974,
11985,Mangaldeep 14 Lavender(Extra 20%)_11985,Mangaldeep 14 Lavender(Extra 20%)_11985,
11986,MD 14 Treya-New(Extra 20%)_11986,MD 14 Treya-New(Extra 20%)_11986,
11987,Mangaldeep 14 Rose(Extra 20%)_11987,Mangaldeep 14 Rose(Extra 20%)_11987,
11988,Mangadeep 14 Mogra (Extra 20%)_11988,Mangadeep 14 Mogra (Extra 20%)_11988,
11989,Mangaldeep 14 Temple (Extra 20%)_11989,Mangaldeep 14 Temple (Extra 20%)_11989,
11990,Mangaldeep 14 Bouquet (Extra 20%)_11990,Mangaldeep 14 Bouquet (Extra 20%)_11990,
11992,MD Rs.10 Marigold (Extra 25%)_11992,MD Rs.10 Marigold (Extra 25%)_11992,
11993,Mangaldeep 35 Sandal (Extra 20%)_11993,Mangaldeep 35 Sandal (Extra 20%)_11993,
11994,Mangaldeep 84 Sandal (Extra 20%)_11994,Mangaldeep 84 Sandal (Extra 20%)_11994,
11995,Mangaldeep 84 Lavender(Extra 20%)_11995,Mangaldeep 84 Lavender(Extra 20%)_11995,
11997,Mangaldeep 84 Temple (Extra 20%)_11997,Mangaldeep 84 Temple (Extra 20%)_11997,
11998,Mangaldeep 84 Bouquet (Extra 20%)_11998,Mangaldeep 84 Bouquet (Extra 20%)_11998,
12000,MD Rs. 50 Marigold (Extra 20%)_12000,MD Rs. 50 Marigold (Extra 20%)_12000,
1504,Classic Double Burst FTK 10BE_1504,Classic Double Burst FTK 10BE_1504,
1506,SCISSORS FT-NS NB 10BE_1506,SCISSORS FT-NS NB 10BE_1506,
1539,Wave Fruit Mint_1539,Wave Fruit Mint_1539,
1581,Classic Balanced T FirmFT NB 10 BE_1581,Classic Balanced T FirmFT NB 10 BE_1581,
1593,Classic Rich T Firm FT FS 20BE_1593,Classic Rich T Firm FT FS 20BE_1593,
1594,Classic Refined T Firm FT FS 20BE_1594,Classic Refined T Firm FT FS 20BE_1594,
1636,GFK Red Mint Switch-5m 10 RC_1636,GFK Red Mint Switch-5m 10 RC_1636,
1637,GFK Blue Menthol Switch 5m 10 BE_1637,GFK Blue Menthol Switch 5m 10 BE_1637,
1646,GFK Red FirmFT MDPPCT 20RC_1646,GFK Red FirmFT MDPPCT 20RC_1646,
1647,GFK Red FirmFT MDPPCT 10RC_1647,GFK Red FirmFT MDPPCT 10RC_1647,
1648,GFK Blue FirmFT MDPPCT 20BE_1648,GFK Blue FirmFT MDPPCT 20BE_1648,
1649,GFK Blue FirmFT MDPPCT10BE_1649,GFK Blue FirmFT MDPPCT10BE_1649,
1650,Cl Fine T Low Smell NPCT FS 20BE_1650,Cl Fine T Low Smell NPCT FS 20BE_1650,
1651,Classic Ice Burst FS 20BE_1651,Classic Ice Burst FS 20BE_1651,
1653,Classic Balanced T FT NB FS 20BE_1653,Classic Balanced T FT NB FS 20BE_1653,
1675,Cl Double Burst FTK FS 20BE_1675,Cl Double Burst FTK FS 20BE_1675,
1695,GFFT Blue Fresh Mint 10BE_1695,GFFT Blue Fresh Mint 10BE_1695,
1716,Classic Ice Burst 10m 10BE_1716,Classic Ice Burst 10m 10BE_1716,
1719,Gold FL FTK Neo FirmFT FS 20BE_1719,Gold FL FTK Neo FirmFT FS 20BE_1719,
1720,Gold FL FTK Neo FirmFT 10BE_1720,Gold FL FTK Neo FirmFT 10BE_1720,
1725,Gold Flake SLK Low smell 16CP_1725,Gold Flake SLK Low smell 16CP_1725,
1728,Navy Cut Deluxe FT 10BE_1728,Navy Cut Deluxe FT 10BE_1728,
1740,Flake Mint Capsule FT 10BE-NS_1740,Flake Mint Capsule FT 10BE-NS_1740,
1786,Wave Cool Mint 10BE-NS_1786,Wave Cool Mint 10BE-NS_1786,
1789,Wave Fruit Mint 10BE-NS_1789,Wave Fruit Mint 10BE-NS_1789,
299,BENSON & HEDGES SPECIALFTK-MD 20HL_299,BENSON & HEDGES SPECIALFTK-MD 20HL_299,
300,B&H Gold Blue FTK 20HL_300,B&H Gold Blue FTK 20HL_300,
3016,GOLD FLAKE SPL NPCT NS 10BE_3016,GOLD FLAKE SPL NPCT NS 10BE_3016,
3023,SCISSORS SPECIAL FT MD NS 10BE_3023,SCISSORS SPECIAL FT MD NS 10BE_3023,
3043,Classic Ice Burst 10m -CC 10BE_3043,Classic Ice Burst 10m -CC 10BE_3043,
3044,Classic Ice Burst FS -CC 20BE_3044,Classic Ice Burst FS -CC 20BE_3044,
3046,Cl Double Burst FTK FS -CC 20BE_3046,Cl Double Burst FTK FS -CC 20BE_3046,
3048,Cl Fine T L S NPCT FS -CC 20BE_3048,Cl Fine T L S NPCT FS -CC 20BE_3048,
3049,Classic BT FirmFT NB -CC 10 BE_3049,Classic BT FirmFT NB -CC 10 BE_3049,
3051,Classic BT FT NB FS -CC 20BE_3051,Classic BT FT NB FS -CC 20BE_3051,
3053,Classic Refr Taste NPCT -CC 20BE_3053,Classic Refr Taste NPCT -CC 20BE_3053,
3056,Cl Rich T Firm FT FS -CC 20BE_3056,Cl Rich T Firm FT FS -CC 20BE_3056,
3058,Cl Refn T Firm FT FS -CC 20BE_3058,Cl Refn T Firm FT FS -CC 20BE_3058,
3062,GFK Red FirmFT MDPPCT -CC 10RC_3062,GFK Red FirmFT MDPPCT -CC 10RC_3062,
3063,GFK Red FirmFT MDPPCT -CC 20RC_3063,GFK Red FirmFT MDPPCT -CC 20RC_3063,
3064,GFK Blue FirmFT MDPPCT-CC 10BE_3064,GFK Blue FirmFT MDPPCT-CC 10BE_3064,
3065,GFK Blue FirmFT MDPPCT -CC 20BE_3065,GFK Blue FirmFT MDPPCT -CC 20BE_3065,
311,Gold Flake SLK - (4m) 16CP_311,Gold Flake SLK - (4m) 16CP_311,
327,CLASSIC VERVE - (4m) 16CP_327,CLASSIC VERVE - (4m) 16CP_327,
43,Classic Refreshing Taste NPCT 10BE_43,Classic Refreshing Taste NPCT 10BE_43,
46,Classic Refreshing Taste NPCT 20BE_46,Classic Refreshing Taste NPCT 20BE_46,
51,Cl Fine TasteLow Smell NPCT 10BE_51,Cl Fine TasteLow Smell NPCT 10BE_51,
9754,AIM WAX 35s_9754,AIM WAX 35s_9754,
9829,CHEETAFIGHT 35s_9829,CHEETAFIGHT 35s_9829,
9859,CHEETAFIGHT WAX 35Sticks 6s_9859,CHEETAFIGHT WAX 35Sticks 6s_9859,
9876,CHEETAFIGHT WAX 30Sticks_9876,CHEETAFIGHT WAX 30Sticks_9876,
9885,SHIP WAX LONGS 35S_9885,SHIP WAX LONGS 35S_9885,
991,INDIA KINGS RICH GOLD -MD 20RC_991,INDIA KINGS RICH GOLD -MD 20RC_991,
9952,HOMELITES RS 2 50 STICKS_9952,HOMELITES RS 2 50 STICKS_9952,
9954,HOMELITES RS 2 50 STICKS_9954,HOMELITES RS 2 50 STICKS_9954,
997,GOLD FLAKE FT -MD 10BE_997,GOLD FLAKE FT -MD 10BE_997,
9976,HMLITESLARGE_9976,HMLITESLARGE_9976,
F11589Q,AASHIRVAAD GULABJAMUN200G_F11589Q,AASHIRVAAD GULABJAMUN200G_F11589Q,
FA020029,AASHIRVAAD SALT - 1KG (25KG OUTER)_FA020029,AASHIRVAAD SALT - 1KG (25KG OUTER)_FA020029,
FA020031,AASHIRVAAD SALT - 1KG (25KG OUTER)_FA020031,AASHIRVAAD SALT - 1KG (25KG OUTER)_FA020031,
FA2116,AASHIRVAAD SUPERIOR MP ATTA 0.5KG_FA2116,AASHIRVAAD SUPERIOR MP ATTA 0.5KG_FA2116,
FA2116T,AASHIRVAAD SUPERIOR MP AT 0.5KGTPR_FA2116T,AASHIRVAAD SUPERIOR MP AT 0.5KGTPR_FA2116T,
FA2116TN,AASHIRVAAD SUPERIOR MP ATTA 0.5KG_FA2116TN,AASHIRVAAD SUPERIOR MP ATTA 0.5KG_FA2116TN,
