PrintID,TransactionName,PrintFileName,DefaultFileName,
1,Purchase Order,Purchase OrderMUOM.ini,0,
2,Purchase Order,Purchase OrderRUOM.ini,1,
3,GRN,GRN_MUOM.ini,0,
4,GRN,GRN_RUOM.ini,1,
5,Stock Request,Stock Request.ini,1,
6,Stock Transfer In,StockTransferInMUOM.ini,0,
7,Stock Transfer In,StockTransferInRUOM.ini,1,
8,Stock Transfer Out,StockTransferOutMUOM.ini,0,
9,Stock Transfer Out,StockTransferOutRUOM.ini,1,
10,Stock Transfer Out Received,StockTransferOutReceived.ini,1,
11,Sales Confirmation,SalesConfirmationMUOM.ini,0,
12,Sales Confirmation,SalesConfirmationRUOM.ini,1,
13,Dispatch,DispatchMUOM.ini,0,
14,Dispatch,DispatchRUOM.ini,1,
15,Van Loading Slip,VanLoadingSlipMUOM.ini,0,
16,Van Loading Slip,VanLoadingSlipRUOM.ini,1,
17,Invoice,InvoiceMUOM.ini,0,
18,Invoice,InvoiceRUOM.ini,1,
19,Retail Invoice,Retail InvoiceMUOM.ini,0,
20,Retail Invoice,Retail InvoiceRUOM.ini,1,
21,Sales Return,Sales ReturnMUOM.ini,0,
22,Sales Return,Sales ReturnRUOM.ini,1,
23,Deposit Slip,DepositSlip.ini,1,
24,Bills,BillsMUOM.ini,1,
35,Stock Destruction,Stock Destruction.ini,1,
36,Bills,BillsRUOM.ini,0,
39,Purchase Return,Purchase ReturnMUOM.ini,1,
40,Purchase Return,Purchase ReturnRUOM.ini,0,
41,Collections,Collections.ini,1,
42,Payments,Payments.ini,1,
43,CollectionReceived,CollectionReceived.ini,1,
44,Receipts,Receipts.ini,1,
45,ARV,ARV.ini,1,
46,Physical Stock Reconciliation,PhysicalStock.ini,1,
