ParameterID,ParameterName,ParameterType,DefaultValue,AutoComplete,MultipleInput,OrderBy,DynamicParamID,"insert into ParameterInfo_Salem( ParameterID,ParameterName,ParameterType,DefaultValue,AutoComplete,MultipleInput,OrderBy,DynamicParamID)",
1,From Date,7,$Date,,0,0,0,"Select 1,'From Date',7,'$Date','',0,'0','0' UNION ALL",
1,To Date,10,$Date,,0,0,0,"Select 1,'To Date',10,'$Date','',0,'0','0' UNION ALL",
2,Vendor,200,$All Vendors,Vendors:Vendor_Name,1,0,0,"Select 2,'Vendor',200,'$All Vendors','Vendors:Vendor_Name',1,'0','0' UNION ALL",
2,From Date,7,$Date,,0,0,0,"Select 2,'From Date',7,'$Date','',0,'0','0' UNION ALL",
2,To Date,10,$Date,,0,0,0,"Select 2,'To Date',10,'$Date','',0,'0','0' UNION ALL",
3,Customer,200,$All Customers,Customer:Company_Name,1,0,0,"Select 3,'Customer',200,'$All Customers','Customer:Company_Name',1,'0','0' UNION ALL",
3,From Date,7,$Date,,0,0,0,"Select 3,'From Date',7,'$Date','',0,'0','0' UNION ALL",
3,To Date,10,$Date,,0,0,0,"Select 3,'To Date',10,'$Date','',0,'0','0' UNION ALL",
4,Category,200,$All Categories,ItemCategories:Category_Name,1,0,0,"Select 4,'Category',200,'$All Categories','ItemCategories:Category_Name',1,'0','0' UNION ALL",
4,From Date,7,$Date,,0,0,0,"Select 4,'From Date',7,'$Date','',0,'0','0' UNION ALL",
4,To Date,10,$Date,,0,0,0,"Select 4,'To Date',10,'$Date','',0,'0','0' UNION ALL",
5,Division,200,$All Divisions,Brand:BrandName,1,0,0,"Select 5,'Division',200,'$All Divisions','Brand:BrandName',1,'0','0' UNION ALL",
5,From Date,7,$Date,,0,0,0,"Select 5,'From Date',7,'$Date','',0,'0','0' UNION ALL",
5,To Date,10,$Date,,0,0,0,"Select 5,'To Date',10,'$Date','',0,'0','0' UNION ALL",
6,Manufacturer,200,$All Manufacturers,Manufacturer:Manufacturer_Name,1,0,0,"Select 6,'Manufacturer',200,'$All Manufacturers','Manufacturer:Manufacturer_Name',1,'0','0' UNION ALL",
6,From Date,7,$Date,,0,0,0,"Select 6,'From Date',7,'$Date','',0,'0','0' UNION ALL",
6,To Date,10,$Date,,0,0,0,"Select 6,'To Date',10,'$Date','',0,'0','0' UNION ALL",
6,Item Code,200,$All Item Code,Items:Product_Code:ProductName+1,1,0,0,"Select 6,'Item Code',200,'$All Item Code','Items:Product_Code:ProductName+1',1,'0','0' UNION ALL",
6,Item Name,200,$All Item Name,Items:ProductName:Product_Code-1,1,0,0,"Select 6,'Item Name',200,'$All Item Name','Items:ProductName:Product_Code-1',1,'0','0' UNION ALL",
7,Date,7,$Date,,0,0,0,"Select 7,'Date',7,'$Date','',0,'0','0' UNION ALL",
8,Category,200,$All Categories,ItemCategories:Category_Name,1,0,0,"Select 8,'Category',200,'$All Categories','ItemCategories:Category_Name',1,'0','0' UNION ALL",
8,Date,7,$Date,,0,0,0,"Select 8,'Date',7,'$Date','',0,'0','0' UNION ALL",
8,Show,200,$All Items,QueryParams1:[Values],0,0,0,"Select 8,'Show',200,'$All Items','QueryParams1:[Values]',0,'0','0' UNION ALL",
8,Stock Valuation,200,PTS,QueryParams:[Values]:QueryParamID in (6;15) And  [Values] Not in ( ''PTSS'') And [Values] Like ''%'',0,0,0,"Select 8,'Stock Valuation',200,'PTS','QueryParams:[Values]:QueryParamID in (6;15) And  [Values] Not in ( ''PTSS'') And [Values] Like ''%''',0,'0','0' UNION ALL",
8,Item Code,200,$All Item Code,Items:Product_Code:CategoryID In (Select * From dbo.GetItems({$1}))And Product_Code Like ''%'':ProductName+1,1,0,0,"Select 8,'Item Code',200,'$All Item Code','Items:Product_Code:CategoryID In (Select * From dbo.GetItems({$1}))And Product_Code Like ''%'':ProductName+1',1,'0','0' UNION ALL",
8,Item Name,200,$All Item Name,Items:ProductName:CategoryID In (Select * From dbo.GetItems({$1})) And ProductName Like ''%'':Product_Code-1,1,0,0,"Select 8,'Item Name',200,'$All Item Name','Items:ProductName:CategoryID In (Select * From dbo.GetItems({$1})) And ProductName Like ''%'':Product_Code-1',1,'0','0' UNION ALL",
