Values,QueryParamID,
Market SKU,54,"Select 'Market SKU',54 UNION ALL"
System SKU,54,"Select 'System SKU',54 UNION ALL"
UOM,28,"Select 'UOM',28 UNION ALL"
Yes,56,"Select 'Yes',56 UNION ALL"
No,56,"Select 'No',56 UNION ALL"
N/A,56,"Select 'N/A',56 UNION ALL"
Non - Productive,64,"Select 'Non - Productive',64 UNION ALL"
Productive,64,"Select 'Productive',64 UNION ALL"
Purchase,66,"Select 'Purchase',66 UNION ALL"
Sales,66,"Select 'Sales',66 UNION ALL"
Kerala EVAT,67,"Select 'Kerala EVAT',67 UNION ALL"
Items With Stock,70,"Select 'Items With Stock',70 UNION ALL"
Items Without Stock,70,"Select 'Items Without Stock',70 UNION ALL"
Cash,68,"Select 'Cash',68 UNION ALL"
Cheque,68,"Select 'Cheque',68 UNION ALL"
DD,68,"Select 'DD',68 UNION ALL"
Credit Card,68,"Select 'Credit Card',68 UNION ALL"
Bank Transfer,68,"Select 'Bank Transfer',68 UNION ALL"
Normal Collection,69,"Select 'Normal Collection',69 UNION ALL"
DS Wise Beat Wise Collection,69,"Select 'DS Wise Beat Wise Collection',69 UNION ALL"
HandHeld Collection,69,"Select 'HandHeld Collection',69 UNION ALL"
Cash Invoice Collection,69,"Select 'Cash Invoice Collection',69 UNION ALL"
Yes,72,"Select 'Yes',72 UNION ALL"
No,72,"Select 'No',72 UNION ALL"
All,73,"Select 'All',73 UNION ALL"
Yes,73,"Select 'Yes',73 UNION ALL"
No,73,"Select 'No',73 UNION ALL"
Value,17,"Select 'Value',17 UNION ALL"
Volume,17,"Select 'Volume',17 UNION ALL"
System SKU,27,"Select 'System SKU',27 UNION ALL"
Base UOM,44,"Select 'Base UOM',44 UNION ALL"
UOM 1,44,"Select 'UOM 1',44 UNION ALL"
UOM 2,44,"Select 'UOM 2',44 UNION ALL"
N/A,44,"Select 'N/A',44 UNION ALL"
All,71,"Select 'All',71 UNION ALL"
Scheme,71,"Select 'Scheme',71 UNION ALL"
Trade Discount,71,"Select 'Trade Discount',71 UNION ALL"
Open,75,"Select 'Open',75 UNION ALL"
Closed,75,"Select 'Closed',75 UNION ALL"
Week 1,124,"Select 'Week 1',124 UNION ALL"
Period,77,"Select 'Period',77 UNION ALL"
Collection,79,"Select 'Collection',79 UNION ALL"
Sales Order,79,"Select 'Sales Order',79 UNION ALL"
Sales Return,79,"Select 'Sales Return',79 UNION ALL"
Active,80,"Select 'Active',80 UNION ALL"
Deactive,80,"Select 'Deactive',80 UNION ALL"
Only Productive Customer,78,"Select 'Only Productive Customer',78 UNION ALL"
All Customer,78,"Select 'All Customer',78 UNION ALL"
All,89,"Select 'All',89 UNION ALL"
Adjusted,89,"Select 'Adjusted',89 UNION ALL"
Not Adjusted,89,"Select 'Not Adjusted',89 UNION ALL"
Monthly  ,90,"Select 'Monthly  ',90 UNION ALL"
Daily,90,"Select 'Daily',90 UNION ALL"
Week 2,124,"Select 'Week 2',124 UNION ALL"
Week 3,124,"Select 'Week 3',124 UNION ALL"
Week 4,124,"Select 'Week 4',124 UNION ALL"
Beat Wise,102,"Select 'Beat Wise',102 UNION ALL"
Category Wise,102,"Select 'Category Wise',102 UNION ALL"
Customer Type wise,102,"Select 'Customer Type wise',102 UNION ALL"
Customer Wise,102,"Select 'Customer Wise',102 UNION ALL"
DS Wise,102,"Select 'DS Wise',102 UNION ALL"
Open,105,"Select 'Open',105 UNION ALL"
Destroyed,105,"Select 'Destroyed',105 UNION ALL"
Sales Return Damage,106,"Select 'Sales Return Damage',106 UNION ALL"
Damages in Godown,106,"Select 'Damages in Godown',106 UNION ALL"
Damages on Arrival,106,"Select 'Damages on Arrival',106 UNION ALL"
Sales Return Saleable,106,"Select 'Sales Return Saleable',106 UNION ALL"
Category Wise,111,"Select 'Category Wise',111 UNION ALL"
Customer Wise Category Wise,111,"Select 'Customer Wise Category Wise',111 UNION ALL"
Customer Wise Category Wise Date Wise,111,"Select 'Customer Wise Category Wise Date Wise',111 UNION ALL"
New,112,"Select 'New',112 UNION ALL"
Verified ,112,"Select 'Verified ',112 UNION ALL"
Rejected,112,"Select 'Rejected',112 UNION ALL"
Creation Date,122,"Select 'Creation Date',122 UNION ALL"
Transaciton Date,122,"Select 'Transaciton Date',122 UNION ALL"
Registered,129,"Select 'Registered',129 UNION ALL"
Unregistered,129,"Select 'Unregistered',129 UNION ALL"
Week 1,133,"Select 'Week 1',133 UNION ALL"
Week 2,133,"Select 'Week 2',133 UNION ALL"
Week 3,133,"Select 'Week 3',133 UNION ALL"
Week 4,133,"Select 'Week 4',133 UNION ALL"
1 Month,1,"Select '1 Month',1 UNION ALL"
12 Months,1,"Select '12 Months',1 UNION ALL"
3 Months,1,"Select '3 Months',1 UNION ALL"
6 Months,1,"Select '6 Months',1 UNION ALL"
Adjustments,13,"Select 'Adjustments',13 UNION ALL"
All,20,"Select 'All',20 UNION ALL"
All Coverage Types,9,"Select 'All Coverage Types',9 UNION ALL"
Saleable Stock,12,"Select 'Saleable Stock',12 UNION ALL"
Base Town,9,"Select 'Base Town',9 UNION ALL"
Base UOM,19,"Select 'Base UOM',19 UNION ALL"
Cash,11,"Select 'Cash',11 UNION ALL"
Cheque,11,"Select 'Cheque',11 UNION ALL"
Conversion Factor,19,"Select 'Conversion Factor',19 UNION ALL"
Damaged,13,"Select 'Damaged',13 UNION ALL"
DD,11,"Select 'DD',11 UNION ALL"
ECP,6,"Select 'ECP',6 UNION ALL"
Expired,13,"Select 'Expired',13 UNION ALL"
Half yearly,7,"Select 'Half yearly',7 UNION ALL"
Invoice Schemes,13,"Select 'Invoice Schemes',13 UNION ALL"
Local,14,"Select 'Local',14 UNION ALL"
Miscellaneous,13,"Select 'Miscellaneous',13 UNION ALL"
Monthly  ,7,"Select 'Monthly  ',7 UNION ALL"
MRP,15,"Select 'MRP',15 UNION ALL"
Outstation,14,"Select 'Outstation',14 UNION ALL"
PTR,6,"Select 'PTR',6 UNION ALL"
PTS,6,"Select 'PTS',6 UNION ALL"
PTSS,6,"Select 'PTSS',6 UNION ALL"
Qty,20,"Select 'Qty',20 UNION ALL"
Quarterly,7,"Select 'Quarterly',7 UNION ALL"
Reporting UOM,19,"Select 'Reporting UOM',19 UNION ALL"
Counter  Sales,8,"Select 'Counter  Sales',8 UNION ALL"
Retailer,10,"Select 'Retailer',10 UNION ALL"
Rural Rural,9,"Select 'Rural Rural',9 UNION ALL"
Rural Urban,9,"Select 'Rural Urban',9 UNION ALL"
All Items,36,"Select 'All Items',36 UNION ALL"
Sales Return,8,"Select 'Sales Return',8 UNION ALL"
Sales UOM,16,"Select 'Sales UOM',16 UNION ALL"
Satellite,9,"Select 'Satellite',9 UNION ALL"
Schemes,13,"Select 'Schemes',13 UNION ALL"
Special Price,15,"Select 'Special Price',15 UNION ALL"
Trade,10,"Select 'Trade',10 UNION ALL"
Trade Invoice,8,"Select 'Trade Invoice',8 UNION ALL"
Unused Cheques,18,"Select 'Unused Cheques',18 UNION ALL"
UOM 1,19,"Select 'UOM 1',19 UNION ALL"
UOM 2,19,"Select 'UOM 2',19 UNION ALL"
UOM1,16,"Select 'UOM1',16 UNION ALL"
UOM2,16,"Select 'UOM2',16 UNION ALL"
Used Cheques,18,"Select 'Used Cheques',18 UNION ALL"
Yearly,7,"Select 'Yearly',7 UNION ALL"
Bank Transfer,11,"Select 'Bank Transfer',11 UNION ALL"
Damages,2,"Select 'Damages',2 UNION ALL"
Saleable,2,"Select 'Saleable',2 UNION ALL"
Credit,26,"Select 'Credit',26 UNION ALL"
CustomerWise,29,"Select 'CustomerWise',29 UNION ALL"
InvoiceWise,29,"Select 'InvoiceWise',29 UNION ALL"
Conversion Factor,31,"Select 'Conversion Factor',31 UNION ALL"
Reporting UOM,31,"Select 'Reporting UOM',31 UNION ALL"
