ID,Node,Action,ActionData,Description,Parent,Parameters,Image,SelectedImage,FormatID,DetailCommand,KeyType,Inactive,ForwardParam,PrintType,PrintWidth,GroupBy,SubTotals,SubTotalLabel,NoSubTotals,ColumnWidth,Header,Footer,TopLineBreak,BottomLineBreak,PageLength,TopMargin,BottomMargin,"Insert Into  ReportData(ID,Node,Action,ActionData,Description,Parent,Parameters,Image,SelectedImage,FormatID,DetailCommand,KeyType,Inactive,ForwardParam,PrintType,PrintWidth,GroupBy,SubTotals,SubTotalLabel,NoSubTotals,ColumnWidth,Header,Footer,TopLineBreak,BottomLineBreak,PageLength,TopMargin,BottomMargin)"
1,Inventory,0,,Click to view inventory reports,0,0,1,2,0,8,3,0,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 1,'Inventory',0,'','Click to view inventory reports',0,0,1,2,0,8,3,0,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
2,Sales,0,,Click to view sales related reports,0,0,1,2,0,0,0,0,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 2,'Sales',0,'','Click to view sales related reports',0,0,1,2,0,0,0,0,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
3,Purchase,0,,Click to view purchase related reports,0,0,1,2,0,0,3,0,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 3,'Purchase',0,'','Click to view purchase related reports',0,0,1,2,0,0,3,0,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
4,Master Lists,0,,,0,0,1,2,0,0,3,0,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 4,'Master Lists',0,'','',0,0,1,2,0,0,3,0,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
5,Items,1,spr_list_items,,448,30,1,2,0,107,200,0,0,0,233,0,,,0,,,,0,0,0,0,0,"SELECT 5,'Items',1,'spr_list_items','',448,30,1,2,0,107,200,0,0,0,233,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
6,Categories,1,spr_list_categories,Click to view item categories,448,0,1,2,0,7,3,0,0,99,126,0,,,0,,,,0,0,0,0,0,"SELECT 6,'Categories',1,'spr_list_categories','Click to view item categories',448,0,1,2,0,7,3,0,0,99,126,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
7,Property List,2,sp_listproperties,,6,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 7,'Property List',2,'sp_listproperties','',6,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
8,Category wise Items,1,spr_list_categories,,448,0,1,2,0,108,3,0,0,25,99,0,,,0,,,,0,0,0,0,0,"SELECT 8,'Category wise Items',1,'spr_list_categories','',448,0,1,2,0,108,3,0,0,25,99,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
9,Available Book Stock,1,spr_list_items_availablestock_MUOM,,1,116,1,2,0,106,200,1,4,4,155,0,,,0,,,,0,0,0,0,0,"SELECT 9,'Available Book Stock',1,'spr_list_items_availablestock_MUOM','',1,116,1,2,0,106,200,1,4,4,155,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
10,Customers,1,spr_list_customers_CHEVRON,Click to view a list of all customers,449,0,1,2,0,68,200,0,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 10,'Customers',1,'spr_list_customers_CHEVRON','Click to view a list of all customers',449,0,1,2,0,68,200,0,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
