RowID,IniFileName,PrintMode,CreationDate,ModifiedDate,Active,
1,FullPagePrint_WB.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
2,HalfPagePrint_WB.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
3,Invoice Print_WIN_WB.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
4,FullPagePrint_UP_Cash_Memo_UP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
5,FullPagePrint_UP_Non_VAT_Goods_UP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
6,FullPagePrint_UP_Tax_Invoice_UP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
7,FullPagePrint_UP_VAT_Goods_UP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
8,HalfPagePrint_UP_Cash_Memo_UP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
9,HalfPagePrint_UP_Non_VAT_Goods_UP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
10,HalfPagePrint_UP_Tax_Invoice_UP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
11,HalfPagePrint_UP_VAT_Goods_UP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
12,Invoice Print_WIN_UP_Cash_Memo_UP.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
13,Invoice Print_WIN_UP_Non_Vat_Goods_UP.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
14,Invoice Print_WIN_UP_Tax_Invoice_UP.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
15,Invoice Print_WIN_UP_Vat_Goods_UP.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
16,HalfPagePrint_TN.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
17,Invoice Print_WIN_TN.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
18,FullPagePrint_TN.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
19,HalfPagePrint_CG_TN.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
20,Invoice Print_WIN_CG_TN.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
21,FullPagePrint_CG_TN.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
22,FullPagePrint_GA.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
23,HalfPagePrint_GA.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
24,Invoice Print_WIN_GA.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
25,FullPagePrint_CT.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
26,HalfPagePrint_CT.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
27,Invoice Print_WIN_CT.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
28,FullPagePrint_BR.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
29,HalfPagePrint_BR.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
30,Invoice Print_WIN_BR.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
31,FullPagePrint_AP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
32,HalfPagePrint_AP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
33,Invoice Print_WIN_AP.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
34,HalfPagePrint_CG_AP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
35,Invoice Print_WIN_CG_AP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
36,FullPagePrint_CG_AP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
37,FullPagePrint_ASM.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
38,HalfPagePrint_ASM.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
39,Invoice Print_WIN_ASM.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
40,HalfPagePrint_CG_ASM.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
