RowID,TransactionName,IniName,PrintMode,Active,CreationDate,ModifiedDate,GSTFlag,
46,Invoice,FullPagePrint_DELHI.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
47,Invoice,HalfPagePrint_DELHI.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
48,Invoice,Invoice Print_WIN_DELHI.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
49,Invoice,FullPagePrint_GUJARAT.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
50,Invoice,HalfPagePrint_GUJARAT.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
51,Invoice,Invoice Print_WIN_GUJARAT.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
52,Invoice,FullPagePrint_TR.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
53,Invoice,HalfPagePrint_TR.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
54,Invoice,Invoice Print_WIN_TR.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
55,Invoice,FullPagePrint_JH.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
56,Invoice,HalfPagePrint_JH.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
57,Invoice,Invoice Print_WIN_JH.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
58,Invoice,FullPagePrint_MP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
59,Invoice,HalfPagePrint_MP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
60,Invoice,Invoice Print_WIN_MP.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
61,Invoice,FullPagePrint_OR.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
62,Invoice,HalfPagePrint_OR.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
63,Invoice,Invoice Print_WIN_OR.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
64,Invoice,FullPagePrint_PB.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
65,Invoice,HalfPagePrint_PB.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
66,Invoice,Invoice Print_WIN_PB.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
67,Invoice,FullPagePrint_KA.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
68,Invoice,FullPagePrint_KA_CG.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
69,Invoice,HalfPagePrint_KA.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
70,Invoice,HalfPagePrint_KA_CG.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
71,Invoice,Invoice Print_WIN_KA.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
72,Invoice,Invoice Print_WIN_KA_CG.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
73,Invoice,HalfPagePrint_KE_CG_FORM 8.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
195,Invoice,Ram1_InvoiceRUOMSR.ini,1,1,19/04/2018 6:40:42 PM,19/04/2018 6:40:42 PM,,
196,GSTInvoice,AACIG BILL_RAM.ini,1,0,13/02/2019 12:20:25 PM,13/02/2019 12:20:25 PM,1,
74,Invoice,HalfPagePrint_KE_CG_FORM 8B.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
75,Invoice,HalfPagePrint_KE_FORM 8.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
76,Invoice,HalfPagePrint_KE_FORM 8B.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
77,Invoice,Invoice Print_WIN_KE_CG_FORM 8.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
78,Invoice,Invoice Print_WIN_KE_CG_FORM 8B.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
79,Invoice,Invoice Print_WIN_KE_FORM 8.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
80,Invoice,Invoice Print_WIN_KE_FORM 8B.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
81,Invoice,FullPagePrint_KE_CG_FORM 8.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
82,Invoice,FullPagePrint_KE_CG_FORM 8B.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
83,Invoice,FullPagePrint_KE_FORM 8.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
84,Invoice,FullPagePrint_KE_FORM 8B.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
85,Invoice,FullPagePrint_MH_TI.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
86,Invoice,HalfPagePrint_MH_TI.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
87,Invoice,FullPagePrint_MH_RI.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
88,Invoice,HalfPagePrint_MH_RI.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
89,Invoice,Invoice Print_WIN_MH_TI.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
90,Invoice,Invoice Print_WIN_MH_RI.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
91,Invoice,FullPagePrint_HAR.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
92,Invoice,HalfPagePrint_HAR.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
93,Invoice,Invoice Print_WIN_HAR.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
94,Invoice,Tax Inv FullPagePrint_HP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
95,Invoice,Tax Inv HalfPagePrint_HP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
96,Invoice,Sales Inv FullPagePrint_HP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
97,Invoice,Sales Inv HalfPagePrint_HP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
98,Invoice,Tax Inv Print_WIN_HP.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
99,Invoice,Sales Inv Print_WIN_HP.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
100,Invoice,Vat Inv FullPagePrint_JK.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
