ARC DT

Sales - Date wise
From Date:,08/01/2019
To Date:,31/08/2019
InvoiceDate,Goods Value(Sales) (Rs.),Goods Value (First Sale) (Rs.),Goods Value (Second Sale) (Rs.),Goods Value(Sales Return Damages) (Rs.),Goods Value(Sales Return Saleable) (Rs.),Total Tax Suffered (Rs.),Productwise Discount (Rs.),Total Discount (Rs.),Total Tax Applicable (Rs.),Total LT on FS (Rs.),Total CT on FS (Rs.),Total LT on SS (Rs.),LTSS ADDL CESS (Rs.),LTSS CESS (Rs.),LTSS CGST (Rs.),LTSS SGST (Rs.),Total CT on SS (Rs.),Net Sales (Rs.),Invoice ID,Doc Reference,Type,Goods Value (Rs.),Goods Value (First Sale) (Rs.),Goods Value (Second Sale) (Rs.),Tax Suffered (Rs.),Productwise Discount (Rs.),Discount (Rs.),Tax Applicable (Rs.),Total LT on FS (Rs.),Total CT on FS (Rs.),Total LT on SS (Rs.),LTSS CESS (Rs.),LTSS CGST (Rs.),LTSS SGST (Rs.),LTSS ADDL CESS (Rs.),Total CT on SS (Rs.),Net Sales (Rs.)
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I1,I/19-20/1,Invoice,4382.42,,4382.42,,536.85,0.00,203.61,,,203.60,,101.80,101.80,,,4049.16
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I2,I/19-20/2,Invoice,1154.98,,1154.98,,0.00,0.00,1573.19,,,1573.19,415.79,161.70,161.70,834.00,,2728.17
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I3,I/19-20/3,Invoice,18613.88,,18613.88,,0.00,0.00,23949.60,,,23949.60,2720.92,2605.94,2605.94,16016.80,,42563.49
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I4,I/19-20/4,Invoice,21850.13,,21850.13,,0.00,0.00,26939.54,,,26939.54,1092.51,3059.02,3059.02,19729.00,,48789.66
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I5,I/19-20/5,Invoice,15232.78,,15232.78,,0.00,0.00,19291.04,,,19291.04,2551.86,2132.59,2132.59,12474.00,,34523.82
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I6,I/19-20/6,Invoice,1359.19,,1359.19,,0.00,0.00,67.96,,,67.96,,33.98,33.98,,,1427.15
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I17,I/19-20/17,Invoice,18871.14,,18871.14,,0.00,0.00,23306.43,,,23306.44,4524.01,2641.96,2641.96,13498.50,,42177.57
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I20,I/19-20/20,Invoice,19607.53,,19607.53,,1029.77,0.00,2205.37,,,2205.45,,1102.68,1102.68,,,20783.08
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I21,I/19-20/21,Invoice,3992.87,,3992.87,,170.21,0.00,402.31,,,402.31,,201.16,201.16,,,4224.99
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I7,I/19-20/7,Invoice,22001.98,,22001.98,,0.00,0.00,26048.60,,,26048.61,4680.55,3080.28,3080.28,15207.50,,48050.59
